0
GamerSegment
HasClicked
IsCommercial
Time_StudentAndLearning
Time_ModernApps
BubbleShownTime
AppCategoryNMinus1
IsVirtualDevice
DefaultInternetBrowser
LifeTimeConversionCount
FrontFacingCameraResolution
Time_Games_Casual
HasRearFacingCamera
InternalPrimaryDisplayLogicalDPIX
Time_Malware
Time_Games_Core
AppCategoryNMinus8
Time_Browser
DisplayLanguage
HasFrontFacingCamera
TotalEngagementTimeInSec
AppCategoryNMinus7
AppCategoryNMinus3
Time_Social
NumberofInternalDisplays
TotalPhysicalRAM
GamerPCClassification
AppCategoryNMinus2
RowNumber
Time_Accessibility
AppCategoryNMinus4
IsAlwaysOnAlwaysConnectedCapable
LifeTimeImpressionCount
PrimaryDiskTotalCapacity
ProcessorClockSpeed
ProcessorPhysicalCores
ProcessorCores
OSOOBEDateTime
RecentMonthConversionCount
IsEducation
TotalDays
Time_Games
InternalPrimaryDiagonalDisplaySizeInInches
NumberofExternalDisplays
Time_Content
Time_Communications
FirstUpdatedDate
AppCategoryNMinus5
IsTouchEnabled
IsPenCapable
IsDomainJoined
CampaignId
InternalBatteryNumberOfCharges
Time_lockapphost_exe
InternalPrimaryDisplayLogicalDPIY
creativeName
Time_Readers
Time_windows_immersivecontrolpanel
ISOCountryShortName
Time_msascui_exe
IsMalware
Time_chrome_exe
Time_Media
Time_PersonalProductivity
Time_Search
InternalPrimaryDisplayResolutionVertical
Time_microsoft_windows_cortana
Time_DevTools
InternalPrimaryDisplayResolutionHorizontal
AppCategoryNMinus6
DeviceTimezone
UniqueUserDeviceKey
