0
GamerSegment
FirstUpdatedDateDay
Time_StudentAndLearning
AppCategoryNMinus1
DefaultInternetBrowser
LifeTimeConversionCount
Time_Games_Casual
HasRearFacingCamera
InternalPrimaryDisplayLogicalDPIX
Time_Games_Core
OSOOBEDateTimeHour
Time_Browser
DisplayLanguage
TotalEngagementTimeInSec
creativeNameCotainsSL
CntNs
AppCategoryNMinus3
Time_Social
NumberofInternalDisplays
TotalPhysicalRAM
GamerPCClassification
AppCategoryNMinus2
Time_Accessibility
IsAlwaysOnAlwaysConnectedCapable
PrimaryDiskTotalCapacity
BubbleShownTimeDay
ProcessorClockSpeed
ProcessorPhysicalCores
OSOOBEDateTimeYear
RecentMonthConversionCount
IsEducation
Time_Games
creativeNameCotainsBattery
NumberofExternalDisplays
creativeNameCotainsMeet
Time_Content
creativeNameCotainsTS
IsTouchEnabled
CampaignId
creativeName
Time_Readers
creativeNameCotainsSurge
Time_windows_immersivecontrolpanel
Time_PersonalProductivity
Time_Search
InternalPrimaryDisplayResolutionVertical
Time_microsoft_windows_cortana
Time_DevTools
InternalPrimaryDisplayResolutionHorizontal
AppCategoryNMinus6
creativeNameCotainsSecurity
FirstUpdatedDateYear
UniqueUserDeviceKey
creativeNameCotainsPerformance
FirstUpdatedDateMonth
IsCommercial
AppCatCntNs
GamerSegment1
Time_ModernApps
IsVirtualDevice
creativeNameCotainsSwitch
FrontFacingCameraResolution
Time_Malware
AppCategoryNMinus8
UniqueUserDeviceKeyValueCount
HasFrontFacingCamera
AppCategoryNMinus7
BubbleShownTimeYear
CampaignIdValueCount
creativeNameCotainsWeek7
OSOOBEDateTimeDay
AppCategoryNMinus4
LifeTimeImpressionCount
ProcessorCores
FirstUpdatedDateHour
TotalDays
InternalPrimaryDiagonalDisplaySizeInInches
OSOOBEDateTimeMonth
creativeNameCotainsSkype
Time_Communications
AppCategoryNMinus5
IsPenCapable
IsDomainJoined
InternalBatteryNumberOfCharges
Time_lockapphost_exe
BubbleShownTimeMonth
InternalPrimaryDisplayLogicalDPIY
BubbleShownTimeHour
ISOCountryShortName
Time_msascui_exe
IsMalware
Time_chrome_exe
Time_Media
DeviceTimezone
